,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,"[10, 1.0]","[11, 0.018666303308819448]","[12, 0.003566691812023712]","[13, 0.005286798873538153]","[14, 0.008910788766990791]","[15, 0.003959864660841253]","[16, 0.003618493054246065]","[17, 0.02220007991668693]","[18, 0.00865351565626901]","[19, 0.009785952457149192]","[20, 0.0051422312281051595]","[21, 0.0006768775786185189]","[22, 0.014301191480768178]","[23, 0.0050370675295035175]","[24, 0.00777369348604062]","[25, 0.019281634755118918]","[26, 0.012790448891390412]","[27, 0.007618351616197421]","[28, 0.005123399808145201]","[29, 0.006861373825563234]","[30, 0.039708504061426016]","[31, 0.0031853621622361414]","[32, 0.010055126303099335]","[33, 0.0034591074650750526]","[34, 0.0071964410185717375]","[35, 0.01772080022857285]","[36, 0.010008722670756724]","[37, 0.011813681948366506]","[38, 0.023148049025786235]","[39, 0.008212314646813048]","[40, 0.005842920269712834]","[41, 0.004423076033227819]","[42, 0.005490844035484766]","[43, 0.012569245670752596]","[44, 0.00628866697951127]","[45, 0.027573644820892137]","[46, 0.004367721965549463]","[47, 0.035087264525282595]","[48, 0.007862065441312573]","[49, 0.007430586515078816]","[50, 0.009200635346089857]","[51, 0.004249406449011129]","[52, 0.017408136834406042]","[53, 0.013890168762846454]","[54, 0.006220077466787969]","[55, 0.022201148817389594]","[56, 0.008254644492663924]","[57, 0.0023782221985591233]","[58, 0.0010064223867980817]","[59, 0.009970158277745096]","[60, 0.0012315408966795357]","[61, 0.016357092579215693]","[62, 0.023319199150286376]","[63, 0.004941834510685153]","[64, 0.003842690113182722]","[65, 0.012685728326194624]","[66, 0.004807377430747418]","[67, 0.004747482618262932]","[68, 0.00818700102014706]","[69, 0.006454405017142235]","[70, 0.005049221010455052]","[71, 0.023008664374302754]","[72, 0.003854017585093095]","[73, 0.111859676564002]","[74, 0.006425579117503086]","[75, 0.007719305836398145]","[76, 0.015291807650164982]","[77, 0.020844890388112443]","[78, 0.023162246732532983]","[79, 0.005719302396298465]","[80, 0.003097643619650896]","[81, 0.012075208902590565]","[82, 0.014581238012104232]","[83, 0.008177261198883125]","[84, 0.020840193455378728]","[85, 0.017578382404560344]","[86, 0.009595982079436351]","[87, 0.005802924815446425]","[88, 0.015202560356487475]","[89, 0.006209862604609156]","[90, 0.011768000663997575]","[91, 0.006455785804186236]","[92, 0.02189586089698872]","[93, 0.02484194478988106]","[94, 0.014027399825228968]","[95, 0.017934501748449544]","[96, 0.0017252763437154062]","[97, 0.005958036183981044]","[98, 0.0032327895331013866]","[99, 0.005051378187166233]",,,,,,,,,,
11,"[11, 1.0000000000000002]","[12, 0.0007914657831543196]","[13, 0.012912354179149916]","[14, 0.008311027774574976]","[15, 0.016328952027125792]","[16, 0.02697199151340853]","[17, 0.04164315845324716]","[18, 0.011388853977462922]","[19, 0.009835819976383083]","[20, 0.0455532733804285]","[21, 0.01165508986883118]","[22, 0.02180989012901546]","[23, 0.008020629195926748]","[24, 0.011083176177272091]","[25, 0.006450212526945623]","[26, 0.023247877362958407]","[27, 0.0013892328352808044]","[28, 0.019221254122549287]","[29, 0.008446959162427789]","[30, 0.027028140746886236]","[31, 0.008753780687531099]","[32, 0.008614152902202434]","[33, 0.032357343144215345]","[34, 0.01622394418631659]","[35, 0.03338792939674899]","[36, 0.028674606592221975]","[37, 0.03394854478881382]","[38, 0.0178702052851448]","[39, 0.0289241434402394]","[40, 0.017802249151860957]","[41, 0.010627635149381278]","[42, 0.010038066235422326]","[43, 0.01146102698166452]","[44, 0.018604913228853878]","[45, 0.014995454365232239]","[46, 0.003998672343084895]","[47, 0.01888845696881804]","[48, 0.006716811777561332]","[49, 0.00410883172167366]","[50, 0.015874257491931002]","[51, 0.047396755351116406]","[52, 0.010379552882294784]","[53, 0.014229025941669263]","[54, 0.01494286978880395]","[55, 0.008529302686050098]","[56, 0.02986181754830738]","[57, 0.012034926894750369]","[58, 0.008391500779513401]","[59, 0.011081348759287384]","[60, 0.0036224536108588443]","[61, 0.015328617930633838]","[62, 0.0016846908225429578]","[63, 0.010589601634874506]","[64, 0.01140810692900555]","[65, 0.03381530372368568]","[66, 0.006522900240707792]","[67, 0.03143232861827892]","[68, 0.04610465881504027]","[69, 0.004574307251926166]","[70, 0.03328814133381521]","[71, 0.043205085605062026]","[72, 0.01474621630135836]","[73, 0.010240552432942956]","[74, 0.008886282340253689]","[75, 0.007735628921094141]","[76, 0.015102442816179465]","[77, 0.01478047788917562]","[78, 0.0003553349499596973]","[79, 0.011087553803504686]","[80, 0.022805816992274772]","[81, 0.023846389154696775]","[82, 0.008516848031348487]","[83, 0.021010141546734955]","[84, 0.011797282744110184]","[85, 0.015617408583900315]","[86, 0.02995171776019622]","[87, 0.033359406194563124]","[88, 0.0072961455066042034]","[89, 0.006789313018415367]","[90, 0.010252790156527736]","[91, 0.01179649893941205]","[92, 0.027076372655580713]","[93, 0.013662210886317866]","[94, 0.017391204577442962]","[95, 0.009395959952860123]","[96, 0.018355987882363253]","[97, 0.013491282837984283]","[98, 0.043326105668958406]","[99, 0.01407739950727183]",,,,,,,,,,,
12,"[12, 1.0]","[13, 0.0014533924116643822]","[14, 0.0033111664572484495]","[15, 0.0052557929879229765]","[16, 0.0005376198598713853]","[17, 0.008917591110523771]","[18, 0.00105353339318418]","[19, 0.0006169997579585474]","[20, 0.002448086831397414]","[21, 0.0007212188396395816]","[22, 0.0026530887145441]","[23, 0.008458090523109356]","[24, 0.0012453757445239624]","[25, 0.0035203573342644325]","[26, 0.0004933317465911796]","[27, 0.0035143235291450244]","[28, 0.0005399605429904644]","[29, 0.002071819573298292]","[30, 0.0006023883615840967]","[31, 0.0006267330347465285]","[32, 0.004289194113973183]","[33, 0.0010221492130581156]","[34, 0.001059859050967676]","[35, 0.0017688816168666712]","[36, 0.0009669978364972653]","[37, 0.0020335616866887342]","[38, 0.009773902384667776]","[39, 0.0002914975154087198]","[40, 0.006725210522436385]","[41, 0.00307800990870013]","[42, 0.015493949627611827]","[43, 0.0011110023958535453]","[44, 0.009008825063346933]","[45, 0.0033195028710492538]","[46, 0.0012610350350392594]","[47, 0.001513692590392596]","[48, 0.005304807091244097]","[49, 0.0009286945471673819]","[50, 0.017968513599125404]","[51, 0.0036114538875001807]","[52, 0.011017548956994873]","[53, 0.0007400919819535058]","[54, 0.0002742215425229092]","[55, 0.0017910014626199146]","[56, 0.001082656986464929]","[57, 0.0010128701292409828]","[58, 0.005055867356333708]","[59, 0.0031358636248995085]","[60, 0.002787489492986668]","[61, 0.01608017408240287]","[62, 0.004517958383062118]","[63, 0.0014267910147426485]","[64, 0.012538742124988048]","[65, 0.005871345194072853]","[66, 0.0015528656486880693]","[67, 0.00165523718413488]","[68, 0.003696929344471496]","[69, 0.004303552324677315]","[70, 0.0045881398761030735]","[71, 0.0015508777399418686]","[72, 0.006109189446542581]","[73, 0.0009068081152607136]","[74, 0.000589470876207469]","[75, 0.02233097568781951]","[76, 0.00172936851743142]","[77, 0.029822934915304317]","[78, 0.004941313458444851]","[79, 0.0009682458572121685]","[80, 0.0006188750444831094]","[81, 0.0012348295637258954]","[82, 0.0032615967594819546]","[83, 0.02055296214334367]","[84, 0.00161654109455467]","[85, 0.0007203184109329586]","[86, 0.004486828109043236]","[87, 0.0010851764337992639]","[88, 0.0018233941911592149]","[89, 0.0037484509987199656]","[90, 0.005802864368672055]","[91, 0.00039290049480073593]","[92, 0.005863561743267474]","[93, 0.0010680088119364795]","[94, 0.007054314798880524]","[95, 0.0020939299744607226]","[96, 0.008717976910742461]","[97, 0.0017267353618019058]","[98, 0.005495063857627867]","[99, 0.020845338205721663]",,,,,,,,,,,,
13,"[13, 1.0000000000000002]","[14, 0.022231463874621576]","[15, 0.01295965285996683]","[16, 0.01642370655367881]","[17, 0.023976874828747684]","[18, 0.014837863276460774]","[19, 0.018826009413462835]","[20, 0.020737768898676283]","[21, 0.015218107397742259]","[22, 0.013792570101892308]","[23, 0.0369447348023511]","[24, 0.01161725988328143]","[25, 0.037467760976443595]","[26, 0.018995174064983265]","[27, 0.006619689724038675]","[28, 0.015965784877130566]","[29, 0.015736327290645228]","[30, 0.02090035001149673]","[31, 0.00733797451273911]","[32, 0.004478221275589497]","[33, 0.004821446233448603]","[34, 0.02120472761010267]","[35, 0.021669774800487374]","[36, 0.009245318409963727]","[37, 0.01548290757868298]","[38, 0.011620688877007217]","[39, 0.016868323582754915]","[40, 0.010125435857937517]","[41, 0.012216092260176333]","[42, 0.010499157283083373]","[43, 0.024906189134742872]","[44, 0.008124073244683113]","[45, 0.008848657212519798]","[46, 0.006218715345933808]","[47, 0.00993428306886385]","[48, 0.004684164410528365]","[49, 0.03840447496035064]","[50, 0.008133904168376564]","[51, 0.007076158830625375]","[52, 0.0060666997866620455]","[53, 0.01280276270402453]","[54, 0.020993208020054024]","[55, 0.010971100013311951]","[56, 0.014092576347925797]","[57, 0.004549342200109467]","[58, 0.0014692940838140372]","[59, 0.10125846043073158]","[60, 0.0012200210797128608]","[61, 0.008820413370289383]","[62, 0.023760986005581904]","[63, 0.009690636095823242]","[64, 0.007654242925971383]","[65, 0.016652431908066274]","[66, 0.0044362994482395595]","[67, 0.01572812379130922]","[68, 0.015171822370079564]","[69, 0.0024895415745044345]","[70, 0.020575318381297548]","[71, 0.011409517738453195]","[72, 0.03222824437650051]","[73, 0.008997956120656472]","[74, 0.0015851797318168746]","[75, 0.009528701071819034]","[76, 0.028521978828794783]","[77, 0.011990266285142635]","[78, 0.013774000479743557]","[79, 0.007165046524540927]","[80, 0.006517425764461201]","[81, 0.01662559493109084]","[82, 0.009252339496889866]","[83, 0.011529187748882855]","[84, 0.009779887067736094]","[85, 0.008723308007979096]","[86, 0.014922156188598946]","[87, 0.012053692689722267]","[88, 0.019372422291179803]","[89, 0.004928953896064642]","[90, 0.0098684382079422]","[91, 0.013439462737946412]","[92, 0.013036245511704871]","[93, 0.012743536036878274]","[94, 0.01114272675333278]","[95, 0.0033279254808827883]","[96, 0.019341367478057852]","[97, 0.06788540632804081]","[98, 0.011738326449691514]","[99, 0.009402795084643388]",,,,,,,,,,,,,
14,"[14, 1.0000000000000002]","[15, 0.0038368364200244026]","[16, 0.010565015917082953]","[17, 0.05820809744837943]","[18, 0.00770475414941762]","[19, 0.008935932217723262]","[20, 0.015833824290296696]","[21, 0.0044040611091262696]","[22, 0.011936512201287502]","[23, 0.01505884678702378]","[24, 0.016718827964094313]","[25, 0.01265202082808903]","[26, 0.008168191972798956]","[27, 0.0023943539415361747]","[28, 0.01380645766349357]","[29, 0.009297863857537466]","[30, 0.00825048079205692]","[31, 0.007608946309193259]","[32, 0.011822951853804444]","[33, 0.0025731293674936444]","[34, 0.0007220956394912845]","[35, 0.01273360104417535]","[36, 0.007714281739782963]","[37, 0.01048800712981874]","[38, 0.01102536477762432]","[39, 0.02192050782405965]","[40, 0.014002922624972552]","[41, 0.0052920041956159205]","[42, 0.011054670542833168]","[43, 0.008676013409440447]","[44, 0.004210435191818833]","[45, 0.017565135501991017]","[46, 0.01564181056274779]","[47, 0.02728014746363547]","[48, 0.002404562642642778]","[49, 0.004657930501673216]","[50, 0.008947281566253037]","[51, 0.0025989960957509503]","[52, 0.02306769837029489]","[53, 0.0021643831518295183]","[54, 0.009304546409887381]","[55, 0.024615282224911567]","[56, 0.02143052123190785]","[57, 0.000690081481144226]","[58, 0.0007306070060172931]","[59, 0.012543580814573092]","[60, 0.0033472109835727096]","[61, 0.005201050699060188]","[62, 0.04317445123039558]","[63, 0.03590388824678942]","[64, 0.0027895805533268104]","[65, 0.01337739440568692]","[66, 0.010461151796021827]","[67, 0.0076109312461651885]","[68, 0.009954284298205279]","[69, 0.021711849928590356]","[70, 0.0183973907205178]","[71, 0.010316558812632281]","[72, 0.019336897342955447]","[73, 0.0006178200632312587]","[74, 0.015553849131193398]","[75, 0.003434909522709292]","[76, 0.019030603052748726]","[77, 0.01554366339728455]","[78, 0.025576627692091007]","[79, 0.004559965811470804]","[80, 0.002561601620303576]","[81, 0.004916620004342403]","[82, 0.006678594610082366]","[83, 0.014309545479268328]","[84, 0.0060695899974750325]","[85, 0.007373019578007459]","[86, 0.006777657506176919]","[87, 0.014943424659523995]","[88, 0.027936154930793166]","[89, 0.012647767803901458]","[90, 0.018490306081240464]","[91, 0.0015787974207962907]","[92, 0.005904210192003163]","[93, 0.01290696150995284]","[94, 0.02047506331932553]","[95, 0.009082944957118474]","[96, 0.014269286024511585]","[97, 0.008525981302843506]","[98, 0.0033198726688572866]","[99, 0.00946705598695468]",,,,,,,,,,,,,,
15,"[15, 1.0000000000000002]","[16, 0.011461294663784835]","[17, 0.013434963684897773]","[18, 0.017583585520211158]","[19, 0.006723849853628524]","[20, 0.029832070921013046]","[21, 0.0012998198055801475]","[22, 0.005079224765650455]","[23, 0.0088805867209775]","[24, 0.012968436847639951]","[25, 0.013161880684429902]","[26, 0.006971428497130136]","[27, 0.010271303985905955]","[28, 0.005246388600608053]","[29, 0.0069158808469154355]","[30, 0.022302722510125942]","[31, 0.003146643194823109]","[32, 0.0021887276379748805]","[33, 0.06466548443025666]","[34, 0.005654475938577036]","[35, 0.007286049224214604]","[36, 0.01419828923704071]","[37, 0.025974501411611423]","[38, 0.019152238390503565]","[39, 0.01776910941907913]","[40, 0.009383316354190282]","[41, 0.003578001129134714]","[42, 0.0037666533030664]","[43, 0.005687051184910045]","[44, 0.011772008110158508]","[45, 0.0014747000617816573]","[46, 0.0011900501648035515]","[47, 0.023745550677364016]","[48, 0.009455618892391491]","[49, 0.009699877717468101]","[50, 0.0049718643565165544]","[51, 0.008355278016085772]","[52, 0.001280873715790754]","[53, 0.047990340318139715]","[54, 0.01994181768801633]","[55, 0.012652076039064349]","[56, 0.019756408689948126]","[57, 0.001825449616826259]","[58, 0.009771576419723083]","[59, 0.014159881692957113]","[60, 0.0012383513698314159]","[61, 0.010292728990899414]","[62, 0.0008384243646739157]","[63, 0.024435680320282652]","[64, 0.0061866337081381674]","[65, 0.01723153616787306]","[66, 0.002474633756446983]","[67, 0.004030394141737113]","[68, 0.07125989262649335]","[69, 0.000787629869847133]","[70, 0.072255103827513]","[71, 0.02856016883895224]","[72, 0.009562820164852614]","[73, 0.0074569850781250144]","[74, 0.005608510593857777]","[75, 0.02264155504389957]","[76, 0.0077980966814851305]","[77, 0.0030429535433106293]","[78, 0.0008482868655949611]","[79, 0.006879460622790789]","[80, 0.015992628455358208]","[81, 0.03948570569634037]","[82, 0.009124030537576414]","[83, 0.00804966692211449]","[84, 0.005141901451726022]","[85, 0.007175879981763783]","[86, 0.011398384505045935]","[87, 0.007554431134011561]","[88, 0.0015469959896804815]","[89, 0.007899330243548473]","[90, 0.0007752070704856652]","[91, 0.0197333488762476]","[92, 0.008373863857708651]","[93, 0.006115454914477824]","[94, 0.004821072279121656]","[95, 0.00525894870650791]","[96, 0.008168000997003152]","[97, 0.0062407171794693385]","[98, 0.01144821660325242]","[99, 0.006384666933797459]",,,,,,,,,,,,,,,
16,"[16, 1.0000000000000002]","[17, 0.024278071775198157]","[18, 0.017275861726967472]","[19, 0.00286087928280398]","[20, 0.017280773090553148]","[21, 0.016754479587094483]","[22, 0.016142106082019256]","[23, 0.009620692407804107]","[24, 0.010736830986100572]","[25, 0.007662161314929028]","[26, 0.012464018558145823]","[27, 0.0020907134425884343]","[28, 0.022735649605655835]","[29, 0.0010624447661090248]","[30, 0.009650208277151146]","[31, 0.009316208180933339]","[32, 0.005716881308114006]","[33, 0.009479817163527292]","[34, 0.004763280113339447]","[35, 0.011228320160455456]","[36, 0.02517019433163961]","[37, 0.021039052749968992]","[38, 0.012548394260431308]","[39, 0.02326591946797482]","[40, 0.014005872760124763]","[41, 0.010473921991069425]","[42, 0.007733175660922657]","[43, 0.0049486426153496]","[44, 0.013497042471775779]","[45, 0.02569163892373291]","[46, 0.0015936296097795895]","[47, 0.01612252721951158]","[48, 0.006674383515934153]","[49, 0.009204004445447271]","[50, 0.01663548080221532]","[51, 0.008480376790064864]","[52, 0.0053621025536767]","[53, 0.009183778378445088]","[54, 0.009647936483146909]","[55, 0.012365293805810248]","[56, 0.012602946034827702]","[57, 0.0017327471454974782]","[58, 0.02439313487535867]","[59, 0.017024277716036172]","[60, 0.008709872670148944]","[61, 0.018933668488216652]","[62, 0.0028938944066390104]","[63, 0.0018031032801484087]","[64, 0.0006328364063972098]","[65, 0.015533872323602543]","[66, 0.0013223875492173152]","[67, 0.0018732688760959583]","[68, 0.020931650628365425]","[69, 0.001548412892565654]","[70, 0.013017292157182591]","[71, 0.015615818589768094]","[72, 0.028732160790253834]","[73, 0.010619738618974278]","[74, 0.005582620954260066]","[75, 0.0018768470658639437]","[76, 0.008732263320209146]","[77, 0.004172133925299192]","[78, 0.0005127297904880517]","[79, 0.0180046627839623]","[80, 0.008923478931752415]","[81, 0.01327947168165712]","[82, 0.01584071006961903]","[83, 0.011178346844867907]","[84, 0.005132049064811283]","[85, 0.021892917992925687]","[86, 0.02283275188171288]","[87, 0.025319026496027013]","[88, 0.0032410227960167543]","[89, 0.013629781136767936]","[90, 0.011677072008010502]","[91, 0.010929319192831724]","[92, 0.011027458737127283]","[93, 0.01746110216458748]","[94, 0.018660735443756522]","[95, 0.016829032523639428]","[96, 0.005199363126501963]","[97, 0.014964286880294345]","[98, 0.007149267164923723]","[99, 0.030147798100860056]",,,,,,,,,,,,,,,,
17,"[17, 1.0000000000000002]","[18, 0.01041585833730088]","[19, 0.008681106893626283]","[20, 0.02592244369143102]","[21, 0.014460219986216648]","[22, 0.022641676754784856]","[23, 0.02662756406262429]","[24, 0.003221515646584787]","[25, 0.021030950635811934]","[26, 0.013454723918805726]","[27, 0.00920961810193733]","[28, 0.025021647702673733]","[29, 0.05655137021532456]","[30, 0.0888278589497042]","[31, 0.02359798605428417]","[32, 0.03915876514445248]","[33, 0.022197461978657317]","[34, 0.008714132468858538]","[35, 0.045951893288794204]","[36, 0.020398817426452213]","[37, 0.02851770013196004]","[38, 0.2336607481831157]","[39, 0.04596572560037557]","[40, 0.044983671686663215]","[41, 0.02312956886629643]","[42, 0.007461254959961786]","[43, 0.037512881687660246]","[44, 0.017853140966420013]","[45, 0.01559117162461231]","[46, 0.003729296537834441]","[47, 0.04278446769995604]","[48, 0.022816166228772833]","[49, 0.031113833797483226]","[50, 0.009417389313595507]","[51, 0.029253256293070146]","[52, 0.013070789771525022]","[53, 0.03424086059978882]","[54, 0.031207880733833217]","[55, 0.02671709261885963]","[56, 0.036137601758757555]","[57, 0.009644536233282755]","[58, 0.003385081140204472]","[59, 0.027651580487213757]","[60, 0.0013342680609956714]","[61, 0.035107201696899966]","[62, 0.01239000411887321]","[63, 0.02277128994079936]","[64, 0.04329350090814935]","[65, 0.019757018639900294]","[66, 0.015729275846761846]","[67, 0.014504041799036195]","[68, 0.01763690759813633]","[69, 0.010641291841957702]","[70, 0.041885371951289135]","[71, 0.12729048295347697]","[72, 0.0366424698873546]","[73, 0.031052343619623706]","[74, 0.01336883129208641]","[75, 0.020511972083977766]","[76, 0.041564494794846446]","[77, 0.06749519181002495]","[78, 0.0196034795776674]","[79, 0.013041888660205347]","[80, 0.023743651381855708]","[81, 0.03345883070001754]","[82, 0.013485259939316525]","[83, 0.029754764468673388]","[84, 0.04215273963687054]","[85, 0.018227362020388407]","[86, 0.015447553761633663]","[87, 0.011508798174693129]","[88, 0.017788575957838403]","[89, 0.029258640349944427]","[90, 0.019975529455933144]","[91, 0.025247814389897663]","[92, 0.027114458222914837]","[93, 0.01932319433810339]","[94, 0.02147296474553484]","[95, 0.012691678038295864]","[96, 0.011944414721940749]","[97, 0.009924321294783317]","[98, 0.014425566257945284]","[99, 0.01319043030028418]",,,,,,,,,,,,,,,,,
18,"[18, 1.0000000000000002]","[19, 0.008659915598686983]","[20, 0.011714726533305011]","[21, 0.0008061650946488717]","[22, 0.011862338700246796]","[23, 0.00578236439786758]","[24, 0.0013920579992881112]","[25, 0.03499405692225361]","[26, 0.004024759445247153]","[27, 0.001849231153168996]","[28, 0.007658139227881415]","[29, 0.0010901879883610432]","[30, 0.01641558274004943]","[31, 0.00896696496049829]","[32, 0.0025924508602219276]","[33, 0.011964723126664347]","[34, 0.004141360957111163]","[35, 0.01046000415639371]","[36, 0.013665502098728417]","[37, 0.022617827814341462]","[38, 0.0021725437278470967]","[39, 0.017007829492851886]","[40, 0.010962188017466406]","[41, 0.017404162877644236]","[42, 0.00758417508103109]","[43, 0.004517948450268583]","[44, 0.0166589784566029]","[45, 0.0017467168492798393]","[46, 0.005185239699585127]","[47, 0.008117036167843384]","[48, 0.012854782411267855]","[49, 0.008849574575149028]","[50, 0.015968884473532757]","[51, 0.01247903528379449]","[52, 0.005090366209671639]","[53, 0.00510779973970313]","[54, 0.008225780723726614]","[55, 0.006125145308005089]","[56, 0.02146387444830879]","[57, 0.00453278515397915]","[58, 0.001198654859222458]","[59, 0.010158036891947619]","[60, 0.008375980955516782]","[61, 0.023102118130027625]","[62, 0.00333201236209825]","[63, 0.0015948406367462297]","[64, 0.01838953806109188]","[65, 0.019399257404250653]","[66, 0.000817115302682042]","[67, 0.014360413411527578]","[68, 0.012004173243787188]","[69, 0.003034308831420554]","[70, 0.010745046028305009]","[71, 0.009469033865863992]","[72, 0.006308940134965326]","[73, 0.0010136133582323544]","[74, 0.008449759932612036]","[75, 0.0010765096544536328]","[76, 0.025117334319067472]","[77, 0.0026560998359004013]","[78, 0.015354399174437932]","[79, 0.00519164934341013]","[80, 0.006774596657593002]","[81, 0.019327887566448387]","[82, 0.002890352412486384]","[83, 0.020629854662828382]","[84, 0.0034055766099244642]","[85, 0.0034866164026445706]","[86, 0.03087849153996432]","[87, 0.00959117494413667]","[88, 0.0009594669684891886]","[89, 0.02376906843800867]","[90, 0.012617399907295723]","[91, 0.006378642119198474]","[92, 0.019208436962592168]","[93, 0.01959318287292469]","[94, 0.004260641684491653]","[95, 0.017954296281302972]","[96, 0.003851466072611343]","[97, 0.008713926861213184]","[98, 0.0013027804193541425]","[99, 0.0010048915077656287]",,,,,,,,,,,,,,,,,,
19,"[19, 1.0]","[20, 0.005188883594766038]","[21, 0.010667720593293416]","[22, 0.014402378805795774]","[23, 0.027498601496413456]","[24, 0.0022373233287436445]","[25, 0.028164031564464495]","[26, 0.0052139628805510365]","[27, 0.0010829985848537875]","[28, 0.0041611539866431594]","[29, 0.0006384664494735069]","[30, 0.0054778178059678466]","[31, 0.007385577731236878]","[32, 0.007013552944782426]","[33, 0.0061548486359567995]","[34, 0.0015595958834156158]","[35, 0.005285021572474684]","[36, 0.02282305235941268]","[37, 0.011699202394377273]","[38, 0.006018330831841392]","[39, 0.009264891002265683]","[40, 0.004572727761769941]","[41, 0.005806039855411366]","[42, 0.0038299196045448974]","[43, 0.008636690158315417]","[44, 0.002881867786405415]","[45, 0.008185744245110406]","[46, 0.0030465305288137554]","[47, 0.013567787741004847]","[48, 0.012721446725064573]","[49, 0.002555383127906513]","[50, 0.04773739423346545]","[51, 0.004746089306575909]","[52, 0.007276598928898232]","[53, 0.004015920691112315]","[54, 0.010623909373311109]","[55, 0.009924180942500133]","[56, 0.009115938174220637]","[57, 0.0024228629898890267]","[58, 0.0007019898588888873]","[59, 0.01261799689523407]","[60, 0.0008590123109507218]","[61, 0.01752505155260491]","[62, 0.0021463678579482504]","[63, 0.006229804170381484]","[64, 0.007148846174026709]","[65, 0.0036869867859250145]","[66, 0.0034545397116239043]","[67, 0.0005100894989174652]","[68, 0.006489221919471278]","[69, 0.004933853242849636]","[70, 0.02073620230957522]","[71, 0.007349473617669304]","[72, 0.008915450527147097]","[73, 0.01998225003875609]","[74, 0.020237830209578624]","[75, 0.0028298888013009406]","[76, 0.030400253987554145]","[77, 0.010557814724658436]","[78, 0.038239702139834734]","[79, 0.023135060159398237]","[80, 0.0013078219580610485]","[81, 0.015189864059071335]","[82, 0.002311790180545914]","[83, 0.009354260445102236]","[84, 0.013243659905711126]","[85, 0.0012940553820725634]","[86, 0.011729951377515271]","[87, 0.007677381131512144]","[88, 0.010976691883279417]","[89, 0.0025966196472392267]","[90, 0.0099802102408142]","[91, 0.005650639972119953]","[92, 0.014885888006036048]","[93, 0.014418510392967675]","[94, 0.004841164616451522]","[95, 0.01087647393892424]","[96, 0.022378192203157097]","[97, 0.010986426242502024]","[98, 0.004279911107845577]","[99, 0.009908567903882304]",,,,,,,,,,,,,,,,,,,
20,"[20, 1.0]","[21, 0.007300080013876353]","[22, 0.004777324883044813]","[23, 0.012923388445419336]","[24, 0.005369779004063006]","[25, 0.005075429101364492]","[26, 0.021101865184870176]","[27, 0.004297043134627479]","[28, 0.05469805908921153]","[29, 0.013125147568168242]","[30, 0.006698259365989376]","[31, 0.0171222063638489]","[32, 0.005244494983937057]","[33, 0.03886578547006772]","[34, 0.0024748794929939743]","[35, 0.03465544940864838]","[36, 0.021832654975492607]","[37, 0.03147613642695993]","[38, 0.00713376486796981]","[39, 0.027398047533133713]","[40, 0.01758884489093641]","[41, 0.010618488453148365]","[42, 0.010563164860631672]","[43, 0.021643668043483402]","[44, 0.007652559720195386]","[45, 0.004058831494631514]","[46, 0.0015418961558039748]","[47, 0.008521125452323915]","[48, 0.004321179721741343]","[49, 0.0011355358990076897]","[50, 0.008934503721308494]","[51, 0.02058051905583507]","[52, 0.0016595722742277312]","[53, 0.02947200015081971]","[54, 0.02318545178512099]","[55, 0.009043691573586124]","[56, 0.02659931318364211]","[57, 0.013005014356915548]","[58, 0.001311188694727034]","[59, 0.008390784451421149]","[60, 0.003408326663538183]","[61, 0.0139512799364762]","[62, 0.0010863099246211224]","[63, 0.0017445697539234914]","[64, 0.0013565490569675046]","[65, 0.041128948665697114]","[66, 0.009904550943861811]","[67, 0.012739925869657966]","[68, 0.08332194385349391]","[69, 0.004466483899706929]","[70, 0.04639598404396222]","[71, 0.04791140559776698]","[72, 0.0216861032540904]","[73, 0.01106093635461731]","[74, 0.0036217116229966713]","[75, 0.0041486449582162545]","[76, 0.03079767781072349]","[77, 0.011643029306163512]","[78, 0.0010990883374196142]","[79, 0.004062765976140861]","[80, 0.008481866888453699]","[81, 0.01816790281563748]","[82, 0.014719138612425594]","[83, 0.007365261924488771]","[84, 0.01652614466862573]","[85, 0.01263620361160702]","[86, 0.0367494730385635]","[87, 0.01855940505930206]","[88, 0.010882853864432523]","[89, 0.007823647741564717]","[90, 0.011062637018627966]","[91, 0.06083981979116076]","[92, 0.017774653214851867]","[93, 0.005397733758779368]","[94, 0.004214440568476092]","[95, 0.006271258218407856]","[96, 0.0032827592688538707]","[97, 0.004508201511388455]","[98, 0.005207433654606202]","[99, 0.02058525911253565]",,,,,,,,,,,,,,,,,,,,
